,新型コロナウイルス感染症に係る検査件数について,,,
,,,,健康福祉部
日付,検査件数（人）,,,備考
,,うち信大医学部付属病院委託分,"うち長野市
検査分",
2/3～2/14,0,0,0,
2月15日,4,0,3,すべて陰性
2月16日,1,0,0,すべて陰性
2月17日,1,0,0,すべて陰性
2月18日,4,0,0,すべて陰性
2月19日,1,0,0,すべて陰性
2月20日,6,0,1,すべて陰性
2月21日,5,0,1,すべて陰性
2月22日,3,0,0,すべて陰性
2月23日,8,0,0,すべて陰性
2月24日,2,0,0,すべて陰性
2月25日,5,0,1,うち1件陽性
2月26日,11,0,2,うち1件陽性
2月27日,12,0,0,すべて陰性
2月28日,20,0,7,すべて陰性
2月29日,11,0,1,すべて陰性
3月1日,4,0,1,すべて陰性
3月2日,8,0,0,すべて陰性
3月3日,20,0,8,すべて陰性
3月4日,12,4,2,すべて陰性
3月5日,12,4,1,すべて陰性
3月6日,25,7,7,うち1件陽性
3月7日,23,0,4,すべて陰性
3月8日,3,0,1,すべて陰性
3月9日,11,0,0,すべて陰性
3月10日,19,2,2,すべて陰性
3月11日,14,4,4,すべて陰性
3月12日,7,2,2,すべて陰性
3月13日,10,3,2,すべて陰性
3月14日,13,0,1,うち1件陽性
3月15日,5,0,1,すべて陰性
3月16日,4,0,0,すべて陰性
3月17日,11,4,4,すべて陰性
3月18日,11,4,3,すべて陰性
3月19日,7,2,1,すべて陰性
3月20日,18,0,5,すべて陰性
3月21日,1,0,0,すべて陰性
3月22日,4,0,2,すべて陰性
3月23日,3,1,1,すべて陰性
3月24日,17,6,7,うち1件陽性
3月25日,15,6,5,すべて陰性
3月26日,25,8,2,すべて陰性
3月27日,17,3,5,うち１件陽性
3月28日,40,0,7,すべて陰性
3月29日,22,0,3,うち２件陽性
3月30日,31,11,1,すべて陰性
3月31日,37,14,9,すべて陰性
,,,,
計,543,85,107,
